TagValue_UID,TagValue_Number,TagValue_Service Name,TagNotes_Service Definition,TagNotes_Service Description,TagValue_JCA Alignment,TagNotes_JCSFL Alignment,TagValue_JARM/ESL Alignment,TagNotes_Comments
159,2.5.2.2,Video Monitor,"Video Monitoring enables tracking, recording, scanning, filtering, blocking, reporting, and logging of specific information in video feeds",TBD,6.2.3.3 Content Discovery,TBD,(gap),none
158,2.5.2.1,Chat Monitor,Chat Monitor provides alerts and/or query of multiple chat rooms through detection of key words or other user specified events.,"Chat Monitor provides real-time chat monitoring along with chat log processing to enable additional awareness of current and historic chat content.

Corresponding alerts and filtering may be based on key words, pattern matching, thesaurus, or gazetteer information.   A direct querying functionality is also provided.",6.2.3.3 Content Discovery,TBD,(gap),none
157,2.5.2,Media Monitoring,Media Monitoring services are services that can track or record data activity that may be of interest to a user or system.,"Media Monitoring services are services that can track or record data activity that may be of interest to a user or system. Monitoring services may look for levels of activity (e.g., data transfer rates), particular values (e.g., keywords), or other values of interest.

Alerting services, automated maintenance services, and similar capabilities can be constructed on top of monitoring services to relieve end users of the task of manually tracking a multitude of data sources looking for items of interest. For example, an audio monitoring service might look at all audio feeds waiting for a audio signal that matches the audio signature of the name of a person of interest and pass that to an alerting service.",family,family,family,family
103,2.3.1.7,Query Results Management,"Query Results Management allows editing (adding, removing, modification) of query results as well as sharing and distributing of query results among  users","Query Results Management enables further processing of returned results to customize for further analysis or sharing of search results with others.

Examples of what Query Results Management might providing include enabling adding a new record manually from an artifact the search did not find, editing the description of the search hit to make it more clear for others, or removing less relevant hits in order to provide focus to those hits that remain. 

In some advanced applications, query results management might also enable sending out final edited results, automatically or at the user’s request, to other identified users or applications.",6.2.3.3 Content Discovery,8.7.96  Review Information Search Results,8.29.05 Aggregated Search Results,"Is Query Results Management duplicative with other Content Management services?  (to be considered after specification review). - TEM with DMO, 13 October, 2011

This sounds like workspaces combined with a results factoring/facets and pub/sub (or email), etc.  Also, recommend changing description to not be limited to DCGS users."
102,2.3.1.6,Query Management,"Query Management allows consumers to build, store, retrieve, update, and delete pre-established search and query criteria.","Many  analysts periodically or repetitively execute the same, or  highly similar, search queries.   In more advanced applications, the structure of the queries can be complex and require considerable time and/or skill to establish.    The query management service helps support this operational requirement by providing a tool that enables  analysts to establish, reuse, and share queries for later or other analyst’s use.

Query Management services accomplish this by supporting the maintenance of query repositories that offer queries for reuse, often with minimal or no additional editing or query parameter analysis.    The SvcV-4 is not prescriptive as the organization relationships of  query repositories (by user, by organization, by role, etc.) but does point to the specifications listed in the Service Portfolio Management Tool (SPMT) for guidance (and once CDP approved, conformance requirement) in the applications or services that present query repositories.    In doing so, it encourages search criteria management services to operate in a manner that promotes establishment and provisioning of stored queries for sharing and use by disparate systems and users across the  Enterprise.",6.2.3.3 Content Discovery,"1.4.4 Control Search Parameters
8.7.8  Query Data",8.29.07 Query Management,"On the one hand, this seems like it would work in conjunction with workspaces, shared workspaces, event notifications/rules engines, etc.  On the other hand,  this might just be a federated query specific function.  If the latter, then we still need to work out a CONOPS for how federated queries will work with pub/sub and event notifications/rules, etc.  

This will require some architecture as well"
379,2.3.1.5,Describe Content,"The Describe Content service enables content repositories to publish information describing their content collections and content resources to the enterprise.  It also provides interested parties with a description of the resource and how it can be accessed or used. 

-- CDR Reference Architecture and Specification Framework

https://metadata.ces.mil/dse/documents/DoDMWG/2010/04/2010-04-13_CDRIPT.ppt
","Describe Content serves as the primary mechanism for content providers to expose information to describe the context, access constraints, and current inventory status of the underlying content resources, and the exposed information will support static and dynamic discovery and accessibility of a content collection. Search and Brokered Search leverage the output of this component to determine whether the content collection may contain content resources that are relevant to the consumer’s query. To support a wide array of use cases, the Describe Component should reflect both the static9 and dynamic10 information about the underlying content collection.
--CDR Reference Architecture",6.2.3.3 Content Discovery,,(gap),none
109,2.3.1.4,Deliver Content,"Deliver Content enables content to be sent to a specified destination, which may or may not be the requesting component.","Deliver Content enables content to be sent to a specified destination, which may or may not be the requesting component. In its simplest form, Deliver Content will take a consumer-supplied payload and send it to another consumer as specified in the delivery property set. For instance, if an analyst discovers a relevant data resource from a Data Discovery feed on her PDA, she might want to access and route that data content to her desktop computer so that she may review it later. The Retrieve Content service facilitates this use case through its use of WS-Addressing, but it requires a companion asynchronous callback interface to ultimately accept the routed data resource. This interface is captured by the Deliver Content  service. Also may include additional processing, such as compression, encryption, or conversion that makes delivery of the payload suitable for its destination and the delivery path to be used.  The terms Deliver and Receive are both used in the Content  Discovery and Retrieval Architecture to describe the service with this service.",6.2.3.4 Content Delivery,"7.1.7  Transfer Data
8.7.24 Manage Information Delivery
8.7.100 Provide Information Delivery Vehicle",8.29.08 Delivery Management,This is part of the CD&R specs.  Note the overlap in the description with Retrieve Content (sending to another destination).
108,2.3.1.3,Retrieve Content,Retrieve Content serves as the primary content access mechanism. It encompasses the service to retrieve identified content and to initiate the delivery of the retrieved content to a designated location.,"The Retrieve Content service serves as the primary content access mechanism. It encompasses the service to retrieve identified content from the content collection in which it is stored and to initiate the delivery of the retrieved content to a designated location. The delivery of the content can be a return directly back to the requester or can use the Deliver Content service to redirect the response and comply with other handling instructions as supplied by the requester. It cannot redirect output to a component other than the requestor.  
The Retrieve Content service provides a common interface and behavioral model for Intelligence Community (IC) and Department of Defense (DoD) content collections, enabling content consumers to retrieve content from disparate collections across the IC/DOD enterprise. Specifically, it provides a means to accept a uniform syntax and semantics that can be transformed, as needed, and applied to newly-developed or existing content collections. Thus, it is unambiguously conveying a request for the content without knowing or setting requirements on the implementation of the underlying content collection.",6.2.3.4 Content Delivery,"8.7.27  Retrieve Data
8.7.91 Acquire Data
8.7.121 Receive Queried Information",8.29.01 Retrieval,This is part of the CD&R specs.
376,2.3.1.2,Brokered Search,"Brokered Search serves as the primary mechanism to 1) facilitate the distribution of queries to applicable/relevant content collections (exposed as Search Components) and 2) process the returned results.
--CDR Reference Architecture
","The Brokered Search service allows an entity to search multiple, independent resources or data repositories and retrieve a combined list of search results.  Brokered searches may be confined to the organization, or may be federated, allowing an entity to simultaneously search data stores in multiple organizations.  Rather than returning the identified products (which could number in the millions), a brokered search returns metadata about each matching product.  This metadata includes information to assist the entity in choosing products to retrieve  (such as the author, a description, abstract, or summary), as well as information about the resource that holds the product.  The entity then queries the repository directly to retrieve the actual product.
http://www.dni.gov/index.php/about/organization/chief-information-officer/cdr-brokered-search.",6.2.3.3 Content Discovery,,(gap),none
99,2.3.1.1,Content Search,"Content Search provides a standard interface for discovering information, returning a 'hit list' of items which can then be retrieved.

Federated Search transforms a search query into useful form(s), broadcasts is to multiple disparate databases, merges the results, and presents results is a succinct, organized format.","Content Search provides a standard interface for discovering information in unstructured and semi-structured data stores.  This service searches Meta data tagged Imagery of various types and Free Text reports, articles, or documents.   Each item to be searched may have metadata associated with it, conforming to enterprise standards.  

The interface specifies criteria such as Author=”name” or “Published time later than some date” as ways of identifying items of interest.   Additionally the search of the body and/or meta data tags can be performed using text search strings, such as “(SOA OR Service) NEAR Component”.   The precise query language grammar will be specified in the service specification package and will include the following functionality: Boolean and, Boolean or, Boolean not, groupings, proximity, and wildcards.

The Federated Search service will simultaneously search multiple specific search resources through a single query request by distributing the search request to participating search engines.   Results are aggregated and results are processed for presentation to the user.

Operations typically might include: (1) checking an incoming query for appropriate content and form, (2) analyzing which search resources to query for results, (3) transforming the query request to forms appropriate search requests for each search resource to be contacted, (4) executing a search request for each assigned search resource, (5) receiving and responding to the distributed search requests, (6) aggregate the results collected from the various search requests, and (7) preparing an organized representation of results, typically with reduced duplication and possibly some relevancy rankings.",6.2.3.3 Content Discovery,"1.2.8 Search
8.7.8  Query Data
8.7.11  Formulate Discovery Search
8.7.63  Search within Context
8.7.65  Perform Text Searches
8.7.95  Search Structured and Unstructured Data
8.7.96 Review Information Search Results
8.7.97  Report Query Results",8.29.06 Content Discovery,"Very many tools will map to this.  This is probably where future plugfests should focus - to drive the implementations of the CD&R specs to true interoperability.  Also, need to consider how the  various ""data cloud"" implementations across both IC and DoD fit into this.  These data clouds will have to be considered data stores themselves, and therefore available for federated queries, but also they will have their own internal queries that will be related to content search.  Associated with this will need to be the ability to de-duplicate data (since federating to already federated data sources will result in duplication of data) and to track data provenance.  This last part may involve the service registries and artifacts as well, as they can disclose what data sources a particular federated search is connected to."
98,2.3.1,Content Discovery and Retrieval,The Content Discovery and Retrieval (CD&R) family processes a user's query to discover information from data assets.,family,family,family,family,family
97,2.3,Data Discovery,The Data Discovery line processes a user's query to discover information.,"Data Discovery processes a user’s query to discover information by:  1) conducting searches that gather information from basic web content as well as structured data sources (general, federated, and semantic search); 2) enabling advanced manipulation and control of the search request and results (search management and enhancement); and 3) enabling enhanced understanding of the people and assets that are available to support  missions and analysis (resource discovery).",Line,Line,Line,Line
9,2.2.3.2,Common Operational Picture (COP),"Common Operational Picture (COP) services allow for generation of a COP and User Defined Operating Picture (UDOP).
",The COP provides an overall 'picture' of a geographic domain of interest (typically a theatre engaged in military missions) and is maintained by the commander’s operations staff.,5.2.3.2 Establish Collective Meaning (Collaboration),"14.1.24 Provide Graphical Intelligence Preparation of the Operational Environment (IPOE) Products
14.1.25 Provide Data Assets from Intelligence Preparation of the Operational Environment (IPOE) Products
14.1.26 Conduct Joint Intelligence Preparation of the Operational Environment",8.16.08 Situational Analysis,none
330,2.2.3.1,Analytic Rendering,"Analytic Rendering services render analytic products.  Includes Histograms, Semantic Network diagrams, Scatter Diagrams, Flow Charts, Relationship Charts.","Analytic Rendering provides different ways to visually present data, to assist in the understanding and exploitation of that data and the identification of trends or other useful information.",6.2.3.8 Enterprise Application Software,(gap),8.17.01 Graphics / Charting,"There exist a bunch of these widgets that are pre-packaged with the Synapse stuff.   Also, should probably call out the framework for these - such as AgileClient and OWF"
329,2.2.3,Analytics Visualization,Family to visualize results of Analytical Processes.,family,family,family,family,family
377,2.2.2.5,Weather Visualization,Weather Visualization services receive and display weather related conditions.,"Weather Visualization services receive and display weather related conditions from various weather reporting sources such as the National Weather Association (NWA), U.S. Air Force Weather Agency (AFWA), or Naval Meteorology & Oceanography Command (CNMOC) (list is for example, not comprehensive).   Weather visualization is typically for a specified geographic region; may include display of historic, current, or anticipated future weather conditions; and might be in a variety of formats including multiple spectral options of imagery, map based, audio, or text.",2.5.2 BA Data Access (IDD),,(gap),none
113,2.2.2.4,Web Map,"Web Map provides a simple HTTP interface for requesting geo-registered map images from one or more distributed geospatial databases. A WMS request defines the geographic layer(s) and area of interest to be processed. The response to the request is one or more geo-registered map images (returned as JPEG, PNG, etc.) that can be displayed in a browser application.","A Web Map Service (WMS) produces maps of spatially referenced data dynamically from geographic information. This International Standard defines a “map” to be a portrayal of geographic information as a digital image file suitable for display on a computer screen. A map is not the data itself. WMS-produced maps are generally rendered in a pictorial format such as PNG, GIF or JPEG, or occasionally as vector-based graphical elements in Scalable Vector Graphics (SVG) or Web Computer Graphics Metafile (WebCGM) formats.  
This International Standard defines three operations: one returns service-level metadata; another returns a map whose geographic and dimensional parameters are well-defined; and an optional third operation returns information about particular features shown on a map. Web Map Service operations can be invoked using a standard web browser by submitting requests in the form of Uniform Resource Locators (URLs). The content of such URLs depends on which operation is requested. In particular, when requesting a map the URL indicates what information is to be shown on the map, what portion of the Earth is to be mapped, the desired coordinate reference system, and the output image width and height. When two or more maps are produced with the same geographic parameters and output size, the results can be accurately overlaid to produce a composite map. The use of image formats that support transparent backgrounds (e.g. GIF or PNG) allows underlying maps to be visible. Furthermore, individual maps can be requested from different servers. The Web Map Service thus enables the creation of a network of distributed map servers from which clients can build customized maps.",2.5.2 BA Data Access (IDD),3.2.52   Display Map,(gap),"OGC WMS specification. Note that this ""service"" is really an implementation of a spec, and there will be many of these implementations as the data behind it will be unique to the particular implementation"
112,2.2.2.3,Web Feature,Web Feature provides an interface allowing requests for geographical features across the web using platform-independent calls.  This service allows a client to retrieve and update geospatial data encoded in Geography Markup Language (GML).,"Web feature defines interfaces for data access and manipulation operations on geographic features using HTTP as the distributed computing platform. Via these interfaces, a web user or service can combine, use and manage geodata -- the feature information behind a map image -- from different sources by invoking the following WFS operations on geographic features and elements: create a new feature instance; delete a feature instance; update a feature instance; lock a feature instance; get or query features based on spatial and non-spatial constraints.
When products are in compliance with open geospatial web service interface and data encoding specifications, end-users benefit from a larger pool of interoperable web based tools for geodata access and related geoprocessing services.",2.5.2 BA Data Access (IDD),"8.10.10 Provide Graphical User Interface (GUI) Services
8.10.22 Manage Display of Symbology
8.10.23 Display Tabular Sortable Information
8.10.25 Display Video",(gap),"OGC WFS Specification.  Note that this ""service"" is really an implementation of a spec, and there will be many of these implementations as the data behind it will be unique to the particular implementation"
111,2.2.2.2,Web Coverage,Web Coverage provides an interface allowing requests for geographical coverages (digital geospatial information representing space-varying phenomena) across the web using platform-independent calls.,"Web Coverage supports electronic retrieval of geospatial data as ""coverages"" – that is, digital geospatial information representing space-varying phenomena. Provides access to potentially detailed and rich sets of geospatial information, in forms that are useful for client-side rendering, multi-valued coverages, and input into scientific models and other clients. Allows clients to choose portions of a server's information holdings based on spatial constraints and other criteria.
Provides available data together with their detailed descriptions; defines a rich syntax for requests against these data; and returns data with its original semantics (instead of pictures) which may be interpreted, extrapolated, etc. – and not just portrayed. Returns coverages representing space-varying phenomena that relate a spatio-temporal domain to a (possibly multidimensional) range of properties.",2.5.2 BA Data Access (IDD),"8.10.10 Provide Graphical User Interface (GUI) Services
8.10.22 Manage Display of Symbology
8.10.23 Display Tabular Sortable Information
8.10.25 Display Video",(gap),"OGC Web Coverage Service (WCS) specification.  Note that this ""service"" is really an implementation of a spec, and there will be many of these implementations as the data behind it will be unique to the particular implementation."
8,2.2.2.1,Geographic Information Display,"Geographic Information Display provides end-users with visualization services for still images, satellite images, 2D, 3D, weather images, and video.","Geographic Information Display captures, stores, manipulates, analyzes, manages and presents all types of geographically referenced data (2D imagery, 3D imagery, video, satellite, weather, maps, human terrain assessment, human intelligence reports, available signal data, etc.) by merging of cartography, statistical analysis and database technology.

Common input sources include ortho-rectified imagery taken from both from satellite and aerial sources, maps or graphical products of various forms, and databases containing geospatially related elements.   Within the GIS display, information is typically located spatially (recording longitude, latitude, and elevation), but may also be recorded temporally or with other quantified reference systems such as film frame number, sensor identifier, highway mile marker, surveyor benchmark, building address, or street intersection.

GIS display data represents real objects with digital representations including raster data (digital image represented by reducible and enlargeable grids) or vectors (which represent features as geometric shapes such as lines, polylines, or polygons).    Real objects are also typically divided into two abstractions: discrete objects (e.g., a house) and continuous fields (such as rainfall amount, or elevations). 

Common GIS display operations include:
• contrast enhancement and color rendering 
• geographic data conversion
• map integration and image rectification 
• complex spatial modeling 
• geometric network representation
• hydrological modeling
• Digital Elevation Model (DEM) assessment
• data extraction
• Geostatistics that analyze point-patterns and provide predictions
• Digital cartography
• Topological relationships (adjacency, containment, proximity, ..)
• Surface interpolation using various mathematical models 
• Geocoding (interpolating spatial locations from street addresses or any other spatially referenced data using reference themes).
• Spatial Extract, Transform, Load (ETL) tools",2.4.5 Product Generation (AP),"3.2.52 Display Map
3.4.3 Receive, Store and Maintain Geospatial Product Information
8.4.10 Generate Displays",8.17.02 Imagery Visualization,"GIS really covers a lot of different things. For example,  WMS, WFS, KML, GML services all are part of the definition.  Note that GVS will provide the ESRI tool suite via their own licensing costs which are far lower than most other  agencies can get on their own.  This should be included.  Overall, this should probably be further decomposed."
7,2.2.2,Geographic Visualization,The Geographic Visualization family gathers and displays inputs from multiple sources containing data linked to geo-coordinated data and displays it in a common geographical representation.,The Geographic Visualization family gathers and displays inputs from multiple sources containing data linked to geo-coordinated data and displays it in a common geographical representation.,family,family,family,family
6,2.2.1.2,Widget Framework,"Widget Framework service provides a toolkit that assists in combining two or more widgets (portable, lightweight, single-purpose applications that can be installed and executed within an HTML-based Web page) to form a single application using a much lower level of technical skill and effort than is typically required for application development.","Widget framework applications provide a layout management and messaging mechanism within a web browser for widgets (widgets are portable, lightweight, single-purpose applications that can be installed and executed within an HTML-based Web page, technically contained in an iFrame).   In doing so, they enable rapid assembly and configuration of rich Web applications composed of multiple, special-purpose widgets.

Typical widget frameworks support both varied (desktop) and fixed (tabbed, portal, accordion, ...) layouts that can be set by the application’s user.   Components might typically include a server to run supplied applications, HTML and JavaScript files that provide the user interface, preference holding and retrieval mechanisms, and various security mechanisms.   

Key features to look for in a widget application include (not all may be found in all widget frameworks):
• standardized widget event model(s)
• standardized Common Data Model (CDM) to promote data sharing between widgets
• Scalability features to optimize for performance 
• data sharing mechanism 
• data handling and management features 
• ability to extend basic services through modification of existing widgets, or the development of entirely new ones. 
• support for bundling and deployment of specific widget sets  
• framework extensions for standardized data and eventing models 
• workflow features that promote workflow analysis and linkage with widget framework architecture. 
• pre-existing, pre-tested widgets that can ‘jump start’ framework development with assured right-from-the-start interoperability
• clearly documented APIs",6.2.3.8 Enterprise Application Software,8.9.5 Integrate Enterprise Applications,(gap),Additional examples not yet in garage: JackBe Presto
5,2.2.1.1,Web Browser,"Web Browsers retrieves, presents, and traverses information resources identified by a Uniform Resource Locators (URLs) including web pages, images, videos, or other artifacts and content.   Includes the ability to traverse hyperlinks and display commonly used web content formats including HTML 4.0, current versions of JavaScript, common commercial image formats (.bmp, .gif, ...), NITF plugins, and PDF.","The web browser service is the primary UI mechanism for DI2E applications, supports OUSDI goals for a Web based SOA architecture, reduces the complexity and expenses of providing fat clients, and supports rapid deployment of services through widgets.

Web browsers do this accepting a Uniform Resource Locator (URL) using URI prefixes (http:, https:, ftp:, file:, etc.) to display web hosted content that includes images, audio, video, and XML files.   URI prefixes that the web browser cannot directly handle are processed by other applications (mailto: by default e-mail application, news: by user's default newsgroup reader, etc.).

Expected features include supporting:  
• popular web file and image formats 
• Widgets  
• Operation on a variety of operating systems 
• Multiple open information resources 
• pop-up blockers 
• bookmarked web pages so a user can quickly return to them.
• Back, forward, refresh, home, and stop buttons 
• Address and bars that report loading status or links under cursor hovering
• page zooming
• Search and find features within a web page.
• Ability to delete the web cache, cookies, and browsing history. 
• Basic security features 

Examples of other popular features include (not a complete list): 
• e-mail support  
• IRC chat client, Usenet news support, and Internet Relay Chat (IRC)
• web feed aggregator
• support for vertical text
• support for image effects and page transitions not found in W3C CSS
• Embedded OpenType (EOT) and OpenType fonts support
• ""favorites icon"" and ""quick tabs"" features 
• ActiveX controls support 
• Performance Advisors
• location-aware browsing and geolocation support  
• thumbnail ‘speed dial’ to move to favorite pages. 
• plug-in support
• Page zooming allows text, images and other content 
• keyboard control, voice control, and mouse gesture control
• Mobile devices support 
• web feeds",6.2.3.8 Enterprise Application Software,"8.1.80 - Populate and Render Data Entry Form via Web Browser
8.4.6  Support Web Browsing
8.4.10 Generate Displays",(gap),"ChatSurfer (geotagging), GeoSextant (Geotagger)"
4,2.2.1,Web Visualization,The Web Visualization family provides tools to view and traverse World Wide Web accessible content and applications.,"Web Visualization  uses web based technologies to provide user interfaces (UIs)  that can display web based content and web hosted applications.  Specific services include:
• Web Browser -  which retrieves, presents, and traverses information resources identified by a Uniform Resource Locators (URLs) including web pages, images, videos, or other artifacts and content.
• Widget Framework - which provides a toolkit that assists in combining two or more widgets (portable, lightweight, single-purpose applications that can be installed and executed within an HTML-based Web page).     Widget Frameworks displays an information arrangement, changeable by the user, to form a single application using much less demanding technical efforts than is typically required for application development.",family,family,family,family
3,2.2,Visualization,The Visualization line of services identifies services that enable users to view and analyze data.,Visualization Tools enable users to view and analyze data by providing 1) web visualization tools that view and traverse World Wide Web accessible content and applications and 2) geographic visualization tools that gather/displays inputs from multiple sources of geo-coordinated data and displays it in common geographical representations.,Line,Line,Line,Line
328,2.1.4.2,Community of Interest Find,Community of Interest Find provides the capability to identify people with particular interests in various intelligence topics for collaboration. It finds experts throughout the DI2E and broader community to better disseminate Intel and analyze problems.,"The Community of Interest Find service allows users to search the enterprise for other users who share a specific interest or expertise.  This allows users to identify Subject Matter Experts (SMEs) who might be able to assist in solving an intelligence problem, or identify personnel who may be interested in a piece of intelligence that relates to a topic they are watching.  This search capability facilitates networking between analysts and promotes dynamic development of communities of interest within the enterprise.",6.2.3.2 Collaboration,"7.1 Provide Ability to Communicate (Group)
8.7.53 Access Subject Matter Expert and Essential Information
8.7.56 Maintain Address Book
8.7.58 Manage Communities of Interest (COI) Catalogs
8.12.8 Determine Collaboration Resource Availability",8.26.03 Workforce Directory / Locator,none
23,2.1.4.1,Shared Calendaring,"Shared Calendaring allows users to view, schedule, organize, and share calendar events with other DI2E users.","Shared Calendaring leverages standards that enable calendar information to be exchanged regardless of the application that is used to create or view the information. 

Interoperability features should include the ability to: send source calendar content via messages between differing calendar tracking applications (including the ability to customize the scope or type of calendar information passed); ability to move (drag) appointments from sent calendar system to users calendar; ability to review/find common free time among two or more calendars; see & (with permissions) edit group calendars; and host and subscribe to calendars (periodic synchronization of calendars).

Common client application features include the ability to: view the calendar in multiple forms and formats (daily/weekly/monthly, forward or backward through time, etc.); show appointments and events; create, edit, and update events; schedule recurring events; schedule meetings; schedule non-human resources; set work schedules & holidays; change presentation options such as font size, font styles, color themes, etc.; set and view importance markings (high importance vs. normal).",6.2.3.2 Collaboration,8.1.76 - Enable Calendar Scheduling,8.28.04 Shared Calendaring,none
22,2.1.4,Social Networking,"Social Networking services help coordinate personal/group schedules, status, and events.","Social Networking services help coordinate personal/group schedules, status, and events.

  • Group Calendar - which views, schedules, organizes, and shares calendar events with other DI2E users.",family,family,family,family
20,2.1.3.2,Audio Messaging,Audio Messaging allows users to send and receive sound file recordings.,"Audio Messaging allows transmittal of recorded voice messages & other audio content between and among fixed or mobile devices.    Messages can be sent one-to-one or one-to-many.   

Features to look for in audio messaging services include the ability to: record messages from multiple input systems or devices (phone, PC microphone, …); forwarding messages among different audio messaging systems; indicate who messages are from, when received; auto-attendant, announcement broadcasting including scheduled or event-based group broadcasts; and recall for handling feedback and verifying messages.",6.2.3.2 Collaboration,"7.1.51   Broadcast Information
7.1.56  Provide Shared Audio Visualization Capabilities
7.1.59  Translate Text to Speech",8.28.08 Audio Messaging,none
21,2.1.3.3,E-Mail,"E-mail creates and sends e-mails to, and retrieves and displays e-mail messages from, enterprise accessible e-mail servers.","The electronic mail (e-mail) service exchanges digital messages from an author to one or more recipients.   Architecturally, e-mail clients help author, send, receive, display, and manage messages.   E-mail servers accept, store, and forward messages from and to e-mail clients.   Structurally, an email message consists of three components, the message envelope, the message header (control information, including an originator's email address and recipient addresses), and the message body.

Basic steps in the passing of a typical e-mail message include: 
• user entering a message & sending the message to a local mail submission agent (typically provided by internet service providers), 
• e-mail servers use the Simple Mail Transfer Protocol (SMTP) to read to resolve the domain name and determine the fully qualified domain name of the mail exchange server in the Domain Name System (DNS),
• mail exchange records listing the mail exchange servers for that domain are returned,  
• the message is sent (using SMTP). 
• The Message Delivery Agent (MDA) delivers the message to the recipient’s mailbox
• The e-mail client is users to pick up the message using standardized access protocols",6.2.3.2 Collaboration,"7.1.24  Manage E-Mail
8.5.33 Scan Mailbox",8.28.01 Email,none
19,2.1.3.1,Instant Messaging,Instant Messaging allows users to communicate using text-based chat and instant messaging.,"Instant messaging provides the ability to exchange short written text messages between and among fixed or mobile devices.   Messages can be sent one-to-one or one-to-many and might carry two-way conversational tones, short informational dissemination updates, or alerting notification.      

Characters that can be sent should include at least the upper and lower case 26 letters of the English alphabet and 10 numerals, but may include other special characters as well.   Security, confidentiality, reliability and speed are key criteria on concern in text messaging services.   Common mobile channel platforms include Short Message Services (SMS), Mobile Web, Mobile Client Applications, and SMS with Mobile Web and Secure SMS.",6.2.3.2 Collaboration,"7.1 Provide Ability to Communicate (Group)
8.4.1 Create and Edit Messages",8.28.07 Instant Messaging,none
18,2.1.3,Collaborative Messaging,"Collaborative messaging capabilities facilitate the rapid creation and sharing of messages and, where appropriate, associated attached artifacts.","Collaborative messaging services facilitate the rapid creation and sharing of messages and, where appropriate, associated attached artifacts.

Specific services include:  

  • Instant Messaging - which allows users to communicate using text-based chat and instant messaging.
  • Audio Messaging - which allows users to send and receive sound file recordings. 
  • E-mail - which creates and sends e-mails to, and retrieves and displays e-mail messages from, enterprise accessible e-mail servers.",family,family,family,family
17,2.1.2.3,Web Conferencing/VTC,The Web Conferencing/VTC service allows users in two or more locations to communicate using near real time full-duplex audio and video.,"The Web Conferencing/Video Telecommunications (VTC) service supports real time collaboration by offering full-duplex sharing of web, auto and video including internet telephone conferencing, videoconferencing, and web conferencing. 

Typical web conferencing features include sharing of documents, desktops, presentations, browsers, and other applications; remotely controlling presentation once given presenter rights; transferring files from within application; controlling layouts (including other users); and dual monitor support.  Advanced features might include ability to play and pause movie files, conference record and playback, integrated white boarding or text chat, and highlight or pointer tools.

Some Video Teleconferencing features to look for include: higher definition support (preferably 720p or better @ 30 fps); support for various video peripherals at any end-point; on-the-fly video device switching; ability to play or pause each or every participant; customizable video size, resolution and frame rate for entire conference or any participant; show/hide participant's name; support for full-screen, tiled, floating, picture-in-picture (PIP), composite (one large, others tiled), and floating video bar display.",6.2.3.2 Collaboration,"7.1.3  Employ Conference Communications Services
7.1.44  Conduct Video Conferencing",8.28.06 Web Conferencing,none
16,2.1.2.2,Whiteboard,The Whiteboard service provides a virtual whiteboard service allowing one or more users to write and draw images on a simulated canvas.,"The Whiteboard service allows shared annotation of ‘open’ space or files (such as an image or map) among two users working at geographically separated workstations.   Each user can work see and mark the image at the same time, and each is able to see changes the others make in near-real time.

In this sense the white board is a virtual version of the physical whiteboards found in many professional office walls (some offer electronic features such as interactive display of a PC monitor or printing of the white board’s display, but these are not the type intended here).

Examples of common features (not an exhaustive or mandatory list) include: multiple page support, rich text editing support, import of external images & graphics, export of whiteboard to multiple image formats, ability to save work for later session editing, drag/drop shape support, priority layering ('bring to front'), font adjustment, and automated fill in.",6.2.3.2 Collaboration,"7.1.56 Provide Shared Audio Visualization Capabilities
8.12.9 Provide Common Workspace",(gap),none
15,2.1.2.1,Desktop Sharing,Desktop Sharing provides the ability to share desktop applications with other users and groups.,"Desktop sharing allows remote access, and thus remote real-time collaboration, with a computer’s desktop through a graphical terminal emulator.    Besides screen sharing, other common embedded features include instant messaging, file passing, and the ability to share control.  Some desktop sharing systems also permit video conferencing

File transfer systems that support the X Window System (typically Unix-based) have basic desktop sharing abilities already built in.     Microsoft Windows (Windows 2000 and later) offer basic remote access in the form of Remote Desktop Protocol.",6.2.3.2 Collaboration,7.1 Provide Ability to Communicate (Group),(gap),none
14,2.1.2,Environment Sharing,"Environment Sharing capabilities provide environments to easily share work space environments in order to promote rapid, interactive collaboration.","Environment Sharing capabilities provide environments that easily share work space environments in order to promote rapid, interactive collaboration.  Specific services include:

  • Desktop Sharing - which provides the ability to share desktop applications with other users and groups.
  • Whiteboard - which provides a virtual whiteboard service allowing one or more users to write and draw images on a simulated canvas.
  • Web Conferencing/VTC - which allows users in two or more locations to communicate using near real time full-duplex audio and video.",family,family,family,family
13,2.1.1.2,Wiki,The Wiki service provides a page or collection of web pages that enable anyone with access to contribute to or modify content.,"Wiki applications allow web pages to be created and edited using a common web browser and typically run on a web server (or servers). The content is stored in a file system, and changes to the content are stored in a relational database management system.    The general maintenance paradigm is to allow alteration by general public without requiring registered user accounts and edits to appear almost instantly, but some wiki sites are private or password-protected.

Style of text presented typically includes plain text, HTML, Cascading Style Sheets (CSS) or other web based formats.",6.2.3.2 Collaboration,7.1.22  Manage Message Boards,8.28.11 Community Management,none
